----------------------Tasks-----------------------
0 do_clear b18
1 do_on_table b18
2 do_clear b24
3 do_on_table b24
4 do_clear b87
5 do_on_table b87
6 do_clear b89
7 do_on_table b89
8 do_clear b153
9 do_on_table b153
10 do_clear b197
11 do_on_table b197
12 do_clear b212
13 do_on_table b212
14 do_clear b214
15 do_on_table b214
16 do_clear b220
17 do_on_table b220
18 do_clear b226
19 do_on_table b226
20 do_clear b266
21 do_on_table b266
22 do_clear b288
23 do_on_table b288
24 do_put_on b14 b212
25 do_put_on b16 b24
26 do_put_on b41 b197
27 do_put_on b42 b89
28 do_put_on b70 b42
29 do_put_on b74 b41
30 do_put_on b123 b226
31 do_put_on b125 b266
32 do_put_on b138 b220
33 do_put_on b151 b214
34 do_put_on b171 b288
35 do_put_on b174 b14
36 do_put_on b183 b16
37 do_put_on b196 b125
38 do_put_on b215 b153
39 do_put_on b258 b151
40 do_put_on b261 b70
41 do_put_on b264 b18
42 do_put_on b270 b74
43 do_put_on b282 b87
44 do_put_on b287 b215
45 do_put_on b3 b123
46 do_put_on b38 b287
47 do_put_on b44 b261
48 do_put_on b51 b196
49 do_put_on b58 b3
50 do_put_on b76 b44
51 do_put_on b83 b171
52 do_put_on b103 b174
53 do_put_on b108 b183
54 do_put_on b148 b282
55 do_put_on b170 b76
56 do_put_on b203 b51
57 do_put_on b205 b270
58 do_put_on b221 b108
59 do_put_on b225 b170
60 do_put_on b230 b264
61 do_put_on b236 b38
62 do_put_on b237 b258
63 do_put_on b259 b103
64 do_put_on b284 b148
65 do_put_on b289 b83
66 do_put_on b294 b58
67 do_put_on b13 b294
68 do_put_on b23 b205
69 do_put_on b50 b221
70 do_put_on b91 b230
71 do_put_on b99 b236
72 do_put_on b139 b91
73 do_put_on b143 b13
74 do_put_on b165 b289
75 do_put_on b189 b203
76 do_put_on b191 b237
77 do_put_on b195 b99
78 do_put_on b208 b189
79 do_put_on b217 b23
80 do_put_on b246 b259
81 do_put_on b250 b284
82 do_put_on b4 b208
83 do_put_on b8 b246
84 do_put_on b27 b143
85 do_put_on b35 b50
86 do_put_on b36 b217
87 do_put_on b37 b35
88 do_put_on b75 b139
89 do_put_on b86 b191
90 do_put_on b88 b36
91 do_put_on b105 b195
92 do_put_on b120 b165
93 do_put_on b160 b105
94 do_put_on b167 b86
95 do_put_on b172 b27
96 do_put_on b232 b172
97 do_put_on b238 b250
98 do_put_on b252 b4
99 do_put_on b260 b37
100 do_put_on b265 b167
101 do_put_on b280 b8
102 do_put_on b293 b75
103 do_put_on b20 b120
104 do_put_on b21 b160
105 do_put_on b25 b88
106 do_put_on b49 b20
107 do_put_on b63 b252
108 do_put_on b77 b232
109 do_put_on b96 b21
110 do_put_on b111 b49
111 do_put_on b162 b265
112 do_put_on b164 b96
113 do_put_on b178 b25
114 do_put_on b181 b260
115 do_put_on b194 b238
116 do_put_on b198 b293
117 do_put_on b206 b280
118 do_put_on b233 b178
119 do_put_on b263 b63
120 do_put_on b296 b194
121 do_put_on b17 b233
122 do_put_on b43 b111
123 do_put_on b45 b164
124 do_put_on b117 b206
125 do_put_on b130 b296
126 do_put_on b144 b198
127 do_put_on b147 b162
128 do_put_on b159 b181
129 do_put_on b175 b45
130 do_put_on b187 b130
131 do_put_on b224 b263
132 do_put_on b242 b17
133 do_put_on b292 b43
134 do_put_on b28 b147
135 do_put_on b61 b292
136 do_put_on b93 b159
137 do_put_on b104 b117
138 do_put_on b115 b144
139 do_put_on b128 b115
140 do_put_on b132 b224
141 do_put_on b145 b187
142 do_put_on b146 b175
143 do_put_on b154 b104
144 do_put_on b166 b242
145 do_put_on b173 b28
146 do_put_on b177 b154
147 do_put_on b190 b177
148 do_put_on b240 b93
149 do_put_on b262 b173
150 do_put_on b274 b128
151 do_put_on b1 b190
152 do_put_on b12 b262
153 do_put_on b15 b146
154 do_put_on b48 b61
155 do_put_on b55 b48
156 do_put_on b56 b1
157 do_put_on b60 b166
158 do_put_on b65 b55
159 do_put_on b66 b132
160 do_put_on b118 b274
161 do_put_on b133 b240
162 do_put_on b134 b145
163 do_put_on b135 b12
164 do_put_on b142 b134
165 do_put_on b169 b60
166 do_put_on b192 b65
167 do_put_on b248 b15
168 do_put_on b249 b135
169 do_put_on b271 b192
170 do_put_on b276 b142
171 do_put_on b278 b56
172 do_put_on b286 b169
173 do_put_on b10 b133
174 do_put_on b46 b271
175 do_put_on b69 b248
176 do_put_on b73 b118
177 do_put_on b119 b276
178 do_put_on b140 b10
179 do_put_on b199 b249
180 do_put_on b207 b278
181 do_put_on b209 b199
182 do_put_on b228 b46
183 do_put_on b245 b209
184 do_put_on b247 b286
185 do_put_on b297 b73
186 do_put_on b32 b297
187 do_put_on b33 b69
188 do_put_on b52 b140
189 do_put_on b72 b119
190 do_put_on b156 b228
191 do_put_on b161 b247
192 do_put_on b188 b245
193 do_put_on b223 b161
194 do_put_on b300 b223
195 do_put_on b5 b156
196 do_put_on b6 b52
197 do_put_on b11 b72
198 do_put_on b31 b33
199 do_put_on b97 b31
200 do_put_on b101 b300
201 do_put_on b121 b188
202 do_put_on b129 b121
203 do_put_on b157 b6
204 do_put_on b202 b101
205 do_put_on b229 b11
206 do_put_on b244 b129
207 do_put_on b253 b97
208 do_put_on b283 b5
209 do_put_on b68 b229
210 do_put_on b78 b202
211 do_put_on b85 b68
212 do_put_on b112 b78
213 do_put_on b137 b157
214 do_put_on b193 b244
215 do_put_on b227 b253
216 do_put_on b234 b112
217 do_put_on b243 b283
218 do_put_on b272 b243
219 do_put_on b39 b85
220 do_put_on b95 b137
221 do_put_on b113 b272
222 do_put_on b116 b234
223 do_put_on b155 b227
224 do_put_on b204 b95
225 do_put_on b211 b39
226 do_put_on b64 b113
227 do_put_on b82 b116
228 do_put_on b109 b204
229 do_put_on b136 b155
230 do_put_on b179 b211
231 do_put_on b269 b136
232 do_put_on b57 b109
233 do_put_on b62 b64
234 do_put_on b67 b57
235 do_put_on b79 b82
236 do_put_on b98 b67
237 do_put_on b126 b269
238 do_put_on b127 b179
239 do_put_on b176 b79
240 do_put_on b210 b98
241 do_put_on b256 b127
242 do_put_on b273 b256
243 do_put_on b102 b210
244 do_put_on b122 b126
245 do_put_on b184 b273
246 do_put_on b299 b184
247 do_put_on b53 b122
248 do_put_on b124 b299
249 do_put_on b131 b124
250 do_put_on b200 b53
251 do_put_on b285 b131
252 do_put_on b22 b200
253 do_put_on b182 b285
254 do_put_on b185 b22
255 do_put_on b149 b182
256 do_put_on b152 b185
257 do_put_on b94 b152
258 do_put_on b110 b149
259 do_put_on b268 b94
260 do_put_on b30 b110
261 do_put_on b114 b268
262 do_put_on b235 b30
263 do_put_on b239 b235
264 do_put_on b9 b114
265 do_put_on b218 b239
266 do_put_on b279 b218
267 do_put_on b290 b9
268 do_put_on b251 b279
269 do_put_on b275 b290
270 do_put_on b219 b275
271 do_put_on b231 b251
272 do_put_on b29 b231
273 do_put_on b100 b219
274 do_put_on b180 b29
275 do_put_on b267 b180
276 do_put_on b26 b100
277 do_put_on b241 b26
278 do_put_on b255 b267
279 do_put_on b47 b255
280 do_put_on b186 b241
281 do_put_on b213 b47
282 do_put_on b7 b186
283 do_put_on b168 b7
284 do_put_on b201 b213
285 do_put_on b254 b168
286 do_put_on b295 b201
287 do_put_on b141 b254
288 do_put_on b163 b295
289 do_put_on b277 b163
290 do_put_on b40 b277
291 do_put_on b59 b141
292 do_put_on b92 b40
293 do_put_on b150 b59
294 do_put_on b298 b92
295 do_put_on b106 b150
296 do_put_on b34 b106
297 do_put_on b216 b34
298 do_put_on b81 b216
299 do_put_on b107 b81
300 do_put_on b222 b107
301 do_put_on b84 b222
302 do_put_on b54 b84
303 do_put_on b291 b54
304 do_put_on b257 b291
305 do_put_on b71 b257
306 do_put_on b281 b71
307 do_put_on b2 b281
308 do_put_on b80 b2
309 do_put_on b90 b80
310 do_put_on b158 b90
311 do_put_on b19 b158
312 invisible_goal
---------------------Planning---------------------
Interrupted

RUNWATCH_RESULT TIMEOUT RETVAL 256 TIME_SECS 1801.01 MEMPEAK_KBS 47548
