----------------------Tasks-----------------------
0 do_clear b13
1 do_on_table b13
2 do_clear b41
3 do_on_table b41
4 do_clear b85
5 do_on_table b85
6 do_clear b87
7 do_on_table b87
8 do_clear b125
9 do_on_table b125
10 do_clear b134
11 do_on_table b134
12 do_clear b142
13 do_on_table b142
14 do_clear b156
15 do_on_table b156
16 do_clear b162
17 do_on_table b162
18 do_clear b186
19 do_on_table b186
20 do_clear b194
21 do_on_table b194
22 do_put_on b12 b85
23 do_put_on b26 b162
24 do_put_on b28 b125
25 do_put_on b34 b26
26 do_put_on b37 b12
27 do_put_on b51 b156
28 do_put_on b72 b186
29 do_put_on b108 b28
30 do_put_on b122 b134
31 do_put_on b140 b41
32 do_put_on b163 b142
33 do_put_on b164 b13
34 do_put_on b172 b108
35 do_put_on b197 b194
36 do_put_on b18 b34
37 do_put_on b19 b51
38 do_put_on b35 b37
39 do_put_on b65 b164
40 do_put_on b70 b72
41 do_put_on b96 b172
42 do_put_on b97 b140
43 do_put_on b106 b97
44 do_put_on b110 b122
45 do_put_on b130 b163
46 do_put_on b132 b96
47 do_put_on b154 b197
48 do_put_on b158 b130
49 do_put_on b166 b19
50 do_put_on b176 b166
51 do_put_on b177 b70
52 do_put_on b178 b132
53 do_put_on b179 b18
54 do_put_on b189 b106
55 do_put_on b200 b65
56 do_put_on b8 b177
57 do_put_on b17 b200
58 do_put_on b29 b17
59 do_put_on b32 b35
60 do_put_on b43 b110
61 do_put_on b60 b158
62 do_put_on b67 b60
63 do_put_on b77 b178
64 do_put_on b92 b32
65 do_put_on b137 b179
66 do_put_on b146 b43
67 do_put_on b157 b176
68 do_put_on b168 b189
69 do_put_on b187 b29
70 do_put_on b5 b67
71 do_put_on b23 b168
72 do_put_on b44 b77
73 do_put_on b82 b137
74 do_put_on b91 b92
75 do_put_on b107 b5
76 do_put_on b118 b146
77 do_put_on b127 b157
78 do_put_on b145 b44
79 do_put_on b174 b127
80 do_put_on b183 b187
81 do_put_on b188 b91
82 do_put_on b3 b23
83 do_put_on b10 b3
84 do_put_on b24 b107
85 do_put_on b38 b82
86 do_put_on b47 b188
87 do_put_on b50 b118
88 do_put_on b83 b24
89 do_put_on b94 b38
90 do_put_on b95 b94
91 do_put_on b104 b145
92 do_put_on b131 b174
93 do_put_on b149 b83
94 do_put_on b152 b183
95 do_put_on b153 b152
96 do_put_on b190 b47
97 do_put_on b7 b10
98 do_put_on b25 b50
99 do_put_on b42 b25
100 do_put_on b56 b104
101 do_put_on b66 b7
102 do_put_on b69 b66
103 do_put_on b73 b153
104 do_put_on b74 b56
105 do_put_on b80 b74
106 do_put_on b86 b190
107 do_put_on b98 b131
108 do_put_on b105 b149
109 do_put_on b115 b73
110 do_put_on b121 b42
111 do_put_on b141 b121
112 do_put_on b180 b105
113 do_put_on b192 b141
114 do_put_on b9 b80
115 do_put_on b52 b69
116 do_put_on b76 b115
117 do_put_on b78 b76
118 do_put_on b84 b192
119 do_put_on b90 b98
120 do_put_on b124 b78
121 do_put_on b150 b90
122 do_put_on b151 b180
123 do_put_on b170 b150
124 do_put_on b196 b9
125 do_put_on b20 b84
126 do_put_on b21 b196
127 do_put_on b45 b21
128 do_put_on b55 b170
129 do_put_on b62 b124
130 do_put_on b116 b62
131 do_put_on b138 b55
132 do_put_on b144 b151
133 do_put_on b148 b20
134 do_put_on b160 b116
135 do_put_on b1 b160
136 do_put_on b27 b45
137 do_put_on b39 b144
138 do_put_on b46 b138
139 do_put_on b59 b148
140 do_put_on b71 b27
141 do_put_on b88 b71
142 do_put_on b126 b46
143 do_put_on b129 b59
144 do_put_on b191 b1
145 do_put_on b195 b39
146 do_put_on b14 b129
147 do_put_on b61 b88
148 do_put_on b81 b195
149 do_put_on b181 b61
150 do_put_on b36 b81
151 do_put_on b68 b181
152 do_put_on b120 b68
153 do_put_on b143 b120
154 do_put_on b155 b36
155 do_put_on b16 b155
156 do_put_on b30 b143
157 do_put_on b93 b30
158 do_put_on b117 b16
159 do_put_on b31 b93
160 do_put_on b102 b31
161 do_put_on b113 b117
162 do_put_on b184 b102
163 do_put_on b199 b113
164 do_put_on b4 b184
165 do_put_on b182 b4
166 do_put_on b2 b182
167 do_put_on b101 b2
168 do_put_on b119 b101
169 do_put_on b147 b119
170 do_put_on b99 b147
171 do_put_on b15 b99
172 do_put_on b33 b15
173 do_put_on b175 b33
174 do_put_on b53 b175
175 do_put_on b89 b53
176 do_put_on b128 b89
177 do_put_on b22 b128
178 do_put_on b136 b22
179 do_put_on b169 b136
180 do_put_on b49 b169
181 do_put_on b165 b49
182 do_put_on b135 b165
183 do_put_on b58 b135
184 do_put_on b123 b58
185 do_put_on b111 b123
186 do_put_on b48 b111
187 do_put_on b11 b48
188 do_put_on b79 b11
189 do_put_on b185 b79
190 do_put_on b133 b185
191 do_put_on b57 b133
192 do_put_on b100 b57
193 do_put_on b193 b100
194 do_put_on b103 b193
195 do_put_on b139 b103
196 do_put_on b63 b139
197 do_put_on b112 b63
198 do_put_on b167 b112
199 do_put_on b114 b167
200 do_put_on b64 b114
201 do_put_on b75 b64
202 do_put_on b109 b75
203 do_put_on b6 b109
204 do_put_on b198 b6
205 do_put_on b161 b198
206 do_put_on b54 b161
207 do_put_on b173 b54
208 do_put_on b159 b173
209 do_put_on b40 b159
210 do_put_on b171 b40
211 invisible_goal
---------------------Planning---------------------
Interrupted
Total time: 1800.8366227149963s

RUNWATCH_RESULT TIMEOUT RETVAL 0 TIME_SECS 1801.01 MEMPEAK_KBS 33516
