----------------------Tasks-----------------------
0 do_clear b12
1 do_on_table b12
2 do_clear b25
3 do_on_table b25
4 do_clear b33
5 do_on_table b33
6 do_clear b49
7 do_on_table b49
8 do_clear b50
9 do_on_table b50
10 do_clear b54
11 do_on_table b54
12 do_clear b89
13 do_on_table b89
14 do_clear b91
15 do_on_table b91
16 do_clear b95
17 do_on_table b95
18 do_clear b104
19 do_on_table b104
20 do_clear b130
21 do_on_table b130
22 do_clear b131
23 do_on_table b131
24 do_clear b139
25 do_on_table b139
26 do_clear b144
27 do_on_table b144
28 do_put_on b4 b50
29 do_put_on b20 b33
30 do_put_on b21 b144
31 do_put_on b31 b20
32 do_put_on b43 b104
33 do_put_on b59 b54
34 do_put_on b62 b21
35 do_put_on b68 b49
36 do_put_on b77 b131
37 do_put_on b78 b130
38 do_put_on b96 b62
39 do_put_on b99 b12
40 do_put_on b114 b25
41 do_put_on b117 b59
42 do_put_on b124 b31
43 do_put_on b127 b96
44 do_put_on b137 b91
45 do_put_on b140 b89
46 do_put_on b143 b95
47 do_put_on b145 b78
48 do_put_on b148 b139
49 do_put_on b3 b117
50 do_put_on b6 b143
51 do_put_on b9 b43
52 do_put_on b22 b68
53 do_put_on b29 b99
54 do_put_on b35 b114
55 do_put_on b38 b29
56 do_put_on b44 b124
57 do_put_on b65 b140
58 do_put_on b67 b6
59 do_put_on b74 b77
60 do_put_on b83 b22
61 do_put_on b87 b3
62 do_put_on b103 b137
63 do_put_on b107 b74
64 do_put_on b109 b67
65 do_put_on b111 b44
66 do_put_on b120 b148
67 do_put_on b123 b127
68 do_put_on b132 b65
69 do_put_on b138 b35
70 do_put_on b147 b109
71 do_put_on b149 b103
72 do_put_on b1 b9
73 do_put_on b13 b1
74 do_put_on b24 b87
75 do_put_on b28 b83
76 do_put_on b32 b149
77 do_put_on b34 b147
78 do_put_on b60 b138
79 do_put_on b73 b107
80 do_put_on b81 b13
81 do_put_on b88 b34
82 do_put_on b90 b132
83 do_put_on b97 b120
84 do_put_on b102 b88
85 do_put_on b105 b90
86 do_put_on b118 b24
87 do_put_on b121 b28
88 do_put_on b122 b32
89 do_put_on b142 b118
90 do_put_on b16 b142
91 do_put_on b36 b60
92 do_put_on b37 b97
93 do_put_on b45 b73
94 do_put_on b46 b37
95 do_put_on b57 b121
96 do_put_on b58 b81
97 do_put_on b75 b36
98 do_put_on b80 b122
99 do_put_on b128 b80
100 do_put_on b134 b16
101 do_put_on b135 b134
102 do_put_on b136 b45
103 do_put_on b150 b46
104 do_put_on b15 b75
105 do_put_on b40 b58
106 do_put_on b41 b57
107 do_put_on b48 b128
108 do_put_on b69 b136
109 do_put_on b79 b135
110 do_put_on b100 b150
111 do_put_on b106 b48
112 do_put_on b112 b100
113 do_put_on b116 b40
114 do_put_on b119 b79
115 do_put_on b17 b119
116 do_put_on b26 b69
117 do_put_on b27 b41
118 do_put_on b63 b112
119 do_put_on b72 b63
120 do_put_on b82 b17
121 do_put_on b92 b116
122 do_put_on b93 b106
123 do_put_on b94 b72
124 do_put_on b98 b93
125 do_put_on b2 b98
126 do_put_on b11 b82
127 do_put_on b14 b27
128 do_put_on b51 b92
129 do_put_on b53 b2
130 do_put_on b70 b94
131 do_put_on b125 b11
132 do_put_on b7 b53
133 do_put_on b10 b14
134 do_put_on b23 b51
135 do_put_on b61 b70
136 do_put_on b64 b7
137 do_put_on b101 b125
138 do_put_on b126 b10
139 do_put_on b5 b101
140 do_put_on b18 b64
141 do_put_on b30 b61
142 do_put_on b47 b5
143 do_put_on b76 b126
144 do_put_on b85 b30
145 do_put_on b110 b85
146 do_put_on b115 b47
147 do_put_on b146 b115
148 do_put_on b8 b18
149 do_put_on b39 b110
150 do_put_on b108 b8
151 do_put_on b113 b39
152 do_put_on b129 b146
153 do_put_on b19 b108
154 do_put_on b55 b129
155 do_put_on b86 b113
156 do_put_on b133 b19
157 do_put_on b56 b133
158 do_put_on b84 b56
159 do_put_on b52 b84
160 do_put_on b42 b52
161 do_put_on b66 b42
162 do_put_on b71 b66
163 do_put_on b141 b71
164 invisible_goal
---------------------Planning---------------------
Interrupted

RUNWATCH_RESULT TIMEOUT RETVAL 256 TIME_SECS 1800.02 MEMPEAK_KBS 30624
