----------------------Tasks-----------------------
0 do_clear b21
1 do_on_table b21
2 do_clear b44
3 do_on_table b44
4 do_clear b71
5 do_on_table b71
6 do_clear b85
7 do_on_table b85
8 do_clear b94
9 do_on_table b94
10 do_clear b114
11 do_on_table b114
12 do_clear b140
13 do_on_table b140
14 do_clear b141
15 do_on_table b141
16 do_clear b166
17 do_on_table b166
18 do_clear b259
19 do_on_table b259
20 do_clear b288
21 do_on_table b288
22 do_clear b367
23 do_on_table b367
24 do_clear b374
25 do_on_table b374
26 do_clear b375
27 do_on_table b375
28 do_clear b378
29 do_on_table b378
30 do_clear b391
31 do_on_table b391
32 do_clear b448
33 do_on_table b448
34 do_clear b451
35 do_on_table b451
36 do_clear b466
37 do_on_table b466
38 do_clear b468
39 do_on_table b468
40 do_clear b522
41 do_on_table b522
42 do_clear b526
43 do_on_table b526
44 do_clear b577
45 do_on_table b577
46 do_clear b595
47 do_on_table b595
48 do_put_on b15 b468
49 do_put_on b19 b378
50 do_put_on b87 b577
51 do_put_on b107 b466
52 do_put_on b108 b451
53 do_put_on b111 b94
54 do_put_on b169 b391
55 do_put_on b171 b141
56 do_put_on b180 b44
57 do_put_on b186 b85
58 do_put_on b195 b186
59 do_put_on b211 b448
60 do_put_on b226 b522
61 do_put_on b233 b114
62 do_put_on b240 b595
63 do_put_on b249 b211
64 do_put_on b255 b171
65 do_put_on b261 b367
66 do_put_on b308 b526
67 do_put_on b363 b111
68 do_put_on b369 b375
69 do_put_on b370 b255
70 do_put_on b401 b140
71 do_put_on b415 b401
72 do_put_on b438 b195
73 do_put_on b439 b107
74 do_put_on b441 b261
75 do_put_on b447 b415
76 do_put_on b475 b108
77 do_put_on b500 b475
78 do_put_on b518 b87
79 do_put_on b530 b441
80 do_put_on b531 b71
81 do_put_on b534 b374
82 do_put_on b543 b166
83 do_put_on b544 b226
84 do_put_on b547 b21
85 do_put_on b569 b363
86 do_put_on b571 b500
87 do_put_on b579 b308
88 do_put_on b585 b369
89 do_put_on b9 b15
90 do_put_on b18 b19
91 do_put_on b38 b543
92 do_put_on b62 b447
93 do_put_on b65 b530
94 do_put_on b75 b438
95 do_put_on b84 b534
96 do_put_on b98 b62
97 do_put_on b105 b518
98 do_put_on b123 b169
99 do_put_on b127 b180
100 do_put_on b134 b240
101 do_put_on b161 b65
102 do_put_on b172 b370
103 do_put_on b177 b531
104 do_put_on b192 b98
105 do_put_on b194 b249
106 do_put_on b197 b161
107 do_put_on b201 b194
108 do_put_on b243 b123
109 do_put_on b245 b579
110 do_put_on b253 b134
111 do_put_on b257 b201
112 do_put_on b273 b253
113 do_put_on b278 b9
114 do_put_on b290 b571
115 do_put_on b320 b547
116 do_put_on b330 b585
117 do_put_on b339 b192
118 do_put_on b340 b439
119 do_put_on b350 b18
120 do_put_on b385 b75
121 do_put_on b398 b385
122 do_put_on b421 b197
123 do_put_on b435 b177
124 do_put_on b440 b421
125 do_put_on b450 b172
126 do_put_on b453 b273
127 do_put_on b470 b569
128 do_put_on b486 b105
129 do_put_on b528 b340
130 do_put_on b537 b243
131 do_put_on b539 b330
132 do_put_on b552 b320
133 do_put_on b573 b127
134 do_put_on b37 b470
135 do_put_on b55 b486
136 do_put_on b82 b84
